"","#chrom","start","end","peak_id","score","strand","auc","pvalue","fdr","summit","logfc:avg","logfc:genrich/o3-gams-GFP.pb.bam","logfc:genrich/o3g_m3GFP.pb.bam","logfc:genrich/o3g_m4GFP.pb.bam","tss_id","description","tss_distance","tss_distance_rank"
"30","PbANKA_03_v3",106989,107736,"gams_GFP-AP2-O3_122",1000,"+",3207.783447,13.532094,-1,576,1.326,2.2933,0.293,0.4796,"PBANKA_0303600.1","26S proteasome regulatory subunit RPN1%2C putative",-218,1
"31","PbANKA_03_v3",156989,157764,"gams_GFP-AP2-O3_125",1000,"-",6583.12207,22.440998,-1,389,1.7122,2.858,0.3434,0.3912,"PBANKA_0304800.1","serine repeat antigen 4",-244,1
"32","PbANKA_03_v3",243136,243538,"gams_GFP-AP2-O3_131",1000,"+",3371.237305,16.475269,-1,211,1.4995,2.4261,1.1823,-0.254,"PBANKA_0306900.1","Sec61-gamma subunit of protein translocation complex%2C putative",-535,1
"33","PbANKA_03_v3",258532,259201,"gams_GFP-AP2-O3_135",1000,"+",9232.195312,34.948391,-1,397,2.0216,3.1251,0.9648,0.5899,"PBANKA_0307400.1","conserved Plasmodium protein%2C unknown function",-668,1
"34","PbANKA_03_v3",327844,328282,"gams_GFP-AP2-O3_140",1000,"+",2170.737549,11.222383,-1,270,1.0132,2.0408,0.2387,-0.3948,"PBANKA_0309400.1","conserved Plasmodium protein%2C unknown function",-733,1
"35","PbANKA_03_v3",327844,328282,"gams_GFP-AP2-O3_140",1000,"-",2170.737549,11.222383,-1,270,1.0132,2.0408,0.2387,-0.3948,"PBANKA_0309200.1","conserved Plasmodium protein%2C unknown function",-805,2
"36","PbANKA_03_v3",353779,354500,"gams_GFP-AP2-O3_143",1000,"-",6887.970215,24.731588,-1,289,2.0194,3.1179,1.0762,0.457,"PBANKA_0310100.1","conserved protein%2C unknown function",-495,2
"37","PbANKA_03_v3",353779,354500,"gams_GFP-AP2-O3_143",1000,"+",6887.970215,24.731588,-1,289,2.0194,3.1179,1.0762,0.457,"PBANKA_0310300.1","protein kinase 7",-516,3
"38","PbANKA_03_v3",358904,359418,"gams_GFP-AP2-O3_145",1000,"-",4237.236328,18.389019,-1,241,1.5918,2.5024,0.9619,0.515,"PBANKA_0310400.1","tetratricopeptide repeat protein%2C putative",-958,1
"39","PbANKA_03_v3",375390,375866,"gams_GFP-AP2-O3_148",1000,"+",3343.813965,15.939612,-1,306,1.5099,2.6311,0.5479,-0.1734,"PBANKA_0310900.1","T-complex protein 1 subunit theta%2C putative",-471,1
"40","PbANKA_03_v3",495231,496031,"gams_GFP-AP2-O3_163",1000,"+",8968.345703,22.363173,-1,314,1.8582,3.0036,0.5991,0.4247,"PBANKA_0314200.1","calcium-dependent protein kinase 1",-739,1
"41","PbANKA_03_v3",518948,519391,"gams_GFP-AP2-O3_166",1000,"-",1977.634155,10.405107,-1,223,1.046,2.1167,-0.3443,0.097,"PBANKA_0314900.1","SUZ domain-containing protein%2C putative",-838,1
"42","PbANKA_03_v3",542232,542647,"gams_GFP-AP2-O3_169",1000,"-",2796.967285,14.454434,-1,215,1.2719,2.4978,-0.1682,-0.5023,"PBANKA_0315700.1","conserved Plasmodium protein%2C unknown function",-654,1
"43","PbANKA_03_v3",542232,542647,"gams_GFP-AP2-O3_169",1000,"+",2796.967285,14.454434,-1,215,1.2719,2.4978,-0.1682,-0.5023,"PBANKA_0315800.1","ribosome associated membrane protein RAMP4%2C putative",-813,2
"44","PbANKA_04_v3",2868,3614,"gams_GFP-AP2-O3_177",1000,"-",3580.997559,12.088234,-1,444,1.2909,2.2637,0.2216,0.4564,"PBANKA_0400100.1","PIR protein",-917,1
"45","PbANKA_04_v3",80938,81657,"gams_GFP-AP2-O3_182",1000,"+",2120.354492,8.88835,-1,328,1.0802,2.0056,0.319,0.1113,"PBANKA_0402100.1","spindle pole body protein%2C putative",-338,1
"46","PbANKA_04_v3",93498,94317,"gams_GFP-AP2-O3_183",1000,"-",5201.250488,18.640759,-1,544,1.7364,2.7418,0.6172,0.8264,"PBANKA_0402500.1","phosphatidylethanolamine-binding protein%2C putative",-247,1
"47","PbANKA_04_v3",98681,99237,"gams_GFP-AP2-O3_184",1000,"+",6605.895996,24.368483,-1,297,1.9496,3.0606,0.8318,0.5506,"PBANKA_0402700.1","inner membrane complex protein 1e",-797,1
"48","PbANKA_04_v3",111621,112127,"gams_GFP-AP2-O3_187",1000,"+",4255.068359,18.934284,-1,235,1.6331,2.7339,0.2808,0.5237,"PBANKA_0403000.1","60S ribosomal protein L44%2C putative",-501,1
"49","PbANKA_04_v3",147220,148075,"gams_GFP-AP2-O3_195",1000,"+",6833.375,15.54989,-1,566,1.5283,2.4952,0.748,0.4178,"PBANKA_0403900.1","conserved protein%2C unknown function",-556,1
"50","PbANKA_04_v3",166645,167267,"gams_GFP-AP2-O3_196",1000,"+",2136.707764,9.990322,-1,217,1.246,2.1056,0.6013,0.3728,"PBANKA_0404300.1","P-loop containing nucleoside triphosphate hydrolase%2C putative",-371,1
"51","PbANKA_04_v3",185194,185609,"gams_GFP-AP2-O3_200",1000,"+",3434.563232,16.920103,-1,199,1.508,2.6387,-0.1721,0.5031,"PBANKA_0405000.1","ATP synthase-associated protein%2C putative",-376,1
"52","PbANKA_04_v3",185194,185609,"gams_GFP-AP2-O3_200",1000,"-",3434.563232,16.920103,-1,199,1.508,2.6387,-0.1721,0.5031,"PBANKA_0404900.1","cytochrome c oxidase subunit ApiCOX35%2C putative",-757,2
"53","PbANKA_04_v3",190553,191047,"gams_GFP-AP2-O3_201",1000,"-",3811.653564,19.306742,-1,204,1.8886,2.7807,1.3378,0.7731,"PBANKA_0405200.1","T-complex protein 1 subunit beta%2C putative",-89,1
"54","PbANKA_04_v3",200292,201305,"gams_GFP-AP2-O3_206",1000,"+",18038.056641,54.569672,-1,566,2.6623,3.7329,1.0639,1.8502,"PBANKA_0405600.1","microtubule-associated protein RP/EB family%2C putative",-268,1
"55","PbANKA_04_v3",214977,216211,"gams_GFP-AP2-O3_208",1000,"+",16707.970703,29.757578,-1,971,2.1701,3.385,0.7609,0.4439,"PBANKA_0406100.1","conserved Plasmodium protein%2C unknown function",-859,1
"56","PbANKA_04_v3",276954,277566,"gams_GFP-AP2-O3_216",1000,"+",9654.620117,33.59988,-1,327,2.045,3.3443,0.2216,0.0812,"PBANKA_0407600.1","asparagine synthetase [glutamine-hydrolyzing]",-390,1
"57","PbANKA_04_v3",281076,281820,"gams_GFP-AP2-O3_217",1000,"+",2758.900146,9.637109,-1,254,1.0155,2.0969,-0.3946,0.0377,"PBANKA_0407700.1","60S acidic ribosomal protein P2%2C putative",-985,1
"58","PbANKA_04_v3",358902,360063,"gams_GFP-AP2-O3_223",1000,"+",17884.03125,34.078686,-1,521,2.3908,3.6579,0.597,0.6775,"PBANKA_0409700.1","plasmepsin VI%2C putative",-471,1
"59","PbANKA_04_v3",381596,383046,"gams_GFP-AP2-O3_227",1000,"-",23719.353516,49.605618,-1,651,2.8308,4.132,0.9645,0.8941,"PBANKA_0410400.1","glycogen synthase kinase 3%2C putative",-736,1
"60","PbANKA_04_v3",387065,388291,"gams_GFP-AP2-O3_228",1000,"+",13679.571289,23.959021,-1,753,2.1351,2.9671,1.5476,1.2841,"PBANKA_0410600.1","60S ribosomal protein L26%2C putative",-725,1
"61","PbANKA_04_v3",514464,514885,"gams_GFP-AP2-O3_242",1000,"-",2851.856689,14.701459,-1,200,1.3259,2.5097,0.337,-0.8298,"PBANKA_0414400.1","formate-nitrite transporter%2C putative",-867,1
"62","PbANKA_04_v3",561183,561754,"gams_GFP-AP2-O3_247",1000,"+",5541.421875,25.256048,-1,327,1.608,2.6271,0.5472,0.5904,"PBANKA_0415700.1","autophagy-related protein 3%2C putative",-766,1
"63","PbANKA_04_v3",622847,623259,"gams_GFP-AP2-O3_252",1000,"-",2000.480347,11.344754,-1,179,1.1285,2.0154,0.5927,0.0113,"PBANKA_0416600.1","replication protein A1%2C small fragment",-299,1
"64","PbANKA_04_v3",646325,646685,"gams_GFP-AP2-O3_255",1000,"-",1614.859619,9.638954,-1,150,1.1283,2.0217,0.1818,0.447,"PBANKA_0417200.1","PH domain-containing protein",-393,1
"65","PbANKA_04_v3",653153,653628,"gams_GFP-AP2-O3_256",1000,"+",4559.680664,19.378393,-1,254,1.6628,2.718,0.7824,0.2618,"PBANKA_0417400.1","GTPase-activating protein%2C putative",-561,1
"66","PbANKA_04_v3",662917,663328,"gams_GFP-AP2-O3_258",1000,"-",3207.092773,16.731388,-1,172,1.4731,2.619,-0.0537,0.2887,"PBANKA_0417600.1","LCCL domain-containing protein",-357,1
"67","PbANKA_04_v3",666263,667344,"gams_GFP-AP2-O3_259",1000,"-",6715.513672,18.0079,-1,294,1.6336,2.7293,0.4646,0.3757,"PBANKA_0417700.1","alpha tubulin 1",-506,1
"68","PbANKA_05_v3",52598,53391,"gams_GFP-AP2-O3_264",1000,"+",3369.209961,11.744226,-1,226,1.4142,2.0231,0.9616,0.9877,"PBANKA_0501300.1","DNA polymerase delta catalytic subunit%2C putative",-826,1
"69","PbANKA_05_v3",98881,99625,"gams_GFP-AP2-O3_268",1000,"+",4496.407715,18.440529,-1,519,1.6732,2.7125,0.4921,0.6838,"PBANKA_0502650.1","conserved Plasmodium protein%2C unknown function",-458,1
"70","PbANKA_05_v3",98881,99625,"gams_GFP-AP2-O3_268",1000,"-",4496.407715,18.440529,-1,519,1.6732,2.7125,0.4921,0.6838,"PBANKA_0502600.1","peptidase%2C putative",-997,2
"71","PbANKA_05_v3",145439,146109,"gams_GFP-AP2-O3_273",1000,"+",1890.074951,8.694427,-1,439,1.0367,2.0148,0.1858,-0.0354,"PBANKA_0503600.1","60S ribosomal protein L30e%2C putative",-340,1
"72","PbANKA_05_v3",172680,173465,"gams_GFP-AP2-O3_277",1000,"-",5443.725586,15.833497,-1,411,1.5946,2.4217,0.9369,0.8381,"PBANKA_0504300.1","flagellar outer arm dynein-associated protein%2C putative",-356,1
"73","PbANKA_05_v3",176683,177408,"gams_GFP-AP2-O3_278",1000,"-",8886.397461,25.044891,-1,235,1.8779,3.1376,-0.0463,0.3306,"PBANKA_0504400.1","conserved Plasmodium protein%2C unknown function",-405,1
"74","PbANKA_05_v3",212314,213780,"gams_GFP-AP2-O3_281",1000,"-",12677.072266,17.280497,-1,431,1.6593,2.5288,1.1955,0.5005,"PBANKA_0505400.1","conserved Plasmodium protein%2C unknown function",-454,1
"75","PbANKA_05_v3",221768,222456,"gams_GFP-AP2-O3_282",1000,"+",3030.872559,12.510138,-1,480,1.1778,2.0964,0.297,0.3581,"PBANKA_0505800.1","deoxyribose-phosphate aldolase%2C putative",-251,1
"76","PbANKA_05_v3",221768,222456,"gams_GFP-AP2-O3_282",1000,"-",3030.872559,12.510138,-1,480,1.1778,2.0964,0.297,0.3581,"PBANKA_0505700.1","ATP-dependent RNA helicase ROK1%2C putative",-479,2
"77","PbANKA_05_v3",293068,293498,"gams_GFP-AP2-O3_290",1000,"-",4169.609863,20.501175,-1,208,1.6322,2.5665,0.7913,0.718,"PBANKA_0506900.1","phospholipid scramblase%2C putative",-319,1
"78","PbANKA_05_v3",359491,360197,"gams_GFP-AP2-O3_297",1000,"-",8427.645508,30.585291,-1,259,2.0588,3.1831,0.9518,0.5678,"PBANKA_0508600.1","conserved Plasmodium protein%2C unknown function",-194,1
"79","PbANKA_05_v3",359491,360197,"gams_GFP-AP2-O3_297",1000,"+",8427.645508,30.585291,-1,259,2.0588,3.1831,0.9518,0.5678,"PBANKA_0508700.1","conserved Plasmodium protein%2C unknown function",-899,2
"80","PbANKA_05_v3",365830,366524,"gams_GFP-AP2-O3_298",1000,"+",3279.750488,9.971147,-1,319,1.1928,2.0684,0.5822,0.2221,"PBANKA_0509000.1","exported protein 3%2C putative",-690,1
"81","PbANKA_05_v3",409852,410844,"gams_GFP-AP2-O3_300",1000,"-",4367.505371,10.956684,-1,190,1.4279,2.1826,1.0617,0.5304,"PBANKA_0509700.1","conserved Plasmodium protein%2C unknown function",-242,1
"82","PbANKA_05_v3",413358,414220,"gams_GFP-AP2-O3_301",1000,"-",7279.986328,17.434008,-1,566,1.4948,2.6753,0.0106,0.0833,"PBANKA_0510000.1","conserved protein%2C unknown function",-882,1
"83","PbANKA_05_v3",470277,471913,"gams_GFP-AP2-O3_311",1000,"+",10489.860352,19.027815,-1,1211,1.7187,2.6467,0.8063,0.8979,"PBANKA_0512000.1","palmitoyltransferase DHHC10",-415,1
"84","PbANKA_05_v3",497729,498093,"gams_GFP-AP2-O3_316",1000,"-",2060.525391,12.078031,-1,182,1.2807,2.295,6e-04,0.4654,"PBANKA_0512900.1","conserved protein%2C unknown function",-528,1
"85","PbANKA_05_v3",560152,560858,"gams_GFP-AP2-O3_320",1000,"-",10063.848633,28.402699,-1,306,2.6065,2.9994,2.4496,2.2665,"PBANKA_0514900.1","ookinete surface protein P28",-396,1
"86","PbANKA_05_v3",562350,563680,"gams_GFP-AP2-O3_321",1000,"-",13154.597656,20.687244,-1,374,1.9736,2.5377,1.2077,1.8742,"PBANKA_0515000.1","ookinete surface protein P25",-583,1
"87","PbANKA_05_v3",597626,598000,"gams_GFP-AP2-O3_326",1000,"-",1662.28833,10.3467,-1,208,1.3104,2.0311,0.8619,0.6187,"PBANKA_0516000.1","conserved Plasmodium protein%2C unknown function",-420,1
"88","PbANKA_05_v3",597626,598000,"gams_GFP-AP2-O3_326",1000,"+",1662.28833,10.3467,-1,208,1.3104,2.0311,0.8619,0.6187,"PBANKA_0516100.1","conserved protein%2C unknown function",-530,2
"89","PbANKA_05_v3",627180,628387,"gams_GFP-AP2-O3_327",1000,"+",10521.088867,25.209024,-1,766,2.0189,3.181,0.9195,0.26,"PBANKA_0517000.1","early transcribed membrane protein",-685,1
"90","PbANKA_05_v3",696909,697321,"gams_GFP-AP2-O3_335",1000,"+",3350.13501,18.248627,-1,216,1.8358,2.655,1.2625,1.0079,"PBANKA_0519300.1","conserved Plasmodium protein%2C unknown function",-780,1
"91","PbANKA_05_v3",726341,726787,"gams_GFP-AP2-O3_339",1000,"+",3324.179688,16.266716,-1,233,1.5623,2.6251,0.6584,0.1533,"PBANKA_0520100.1","conserved Plasmodium protein%2C unknown function",-351,1
"92","PbANKA_05_v3",828391,828974,"gams_GFP-AP2-O3_351",1000,"+",3700.237549,14.426848,-1,319,1.4963,2.4609,0.8323,0.2357,"PBANKA_0522300.1","conserved Plasmodium protein%2C unknown function",-270,1
"93","PbANKA_05_v3",895507,896163,"gams_GFP-AP2-O3_359",1000,"-",4459.813965,19.004013,-1,353,1.69,2.7968,0.7249,0.1081,"PBANKA_0524300.1","tryptophan-rich protein",-611,1
"94","PbANKA_06_v3",94343,94813,"gams_GFP-AP2-O3_366",1000,"-",5667.414062,25.184065,-1,227,2.0666,2.8702,1.5221,1.2527,"PBANKA_0600600.1","NIMA related kinase 3%2C putative",-431,1
"95","PbANKA_06_v3",151763,152827,"gams_GFP-AP2-O3_372",1000,"-",14613.586914,30.539268,-1,614,2.221,3.4521,0.8181,0.3556,"PBANKA_0601900.1","high mobility group protein B1%2C putative",-972,1
"96","PbANKA_06_v3",154561,155049,"gams_GFP-AP2-O3_374",1000,"+",1940.96228,10.81878,-1,255,1.2845,2.1305,0.9314,0.0312,"PBANKA_0602000.1","origin recognition complex subunit 1%2C putative",-81,1
"97","PbANKA_06_v3",226113,227063,"gams_GFP-AP2-O3_384",1000,"+",21746.005859,38.486603,-1,492,2.6461,3.9533,0.7685,0.6647,"PBANKA_0604400.1","targeted glyoxalase II%2C putative",-728,1
"98","PbANKA_06_v3",248448,249024,"gams_GFP-AP2-O3_385",1000,"-",3149.908936,12.523561,-1,222,1.3605,2.3178,0.4647,0.4195,"PBANKA_0604800.1","eukaryotic translation initiation factor 3 subunit C%2C putative",-452,1
"99","PbANKA_06_v3",296538,297034,"gams_GFP-AP2-O3_388",1000,"-",2791.882324,13.64395,-1,297,1.329,2.3388,0.2803,0.3371,"PBANKA_0605800.1","LIMP protein",-224,1
"100","PbANKA_06_v3",376603,377045,"gams_GFP-AP2-O3_395",1000,"-",2558.363281,12.385677,-1,179,1.3027,2.252,0.6655,0.0718,"PBANKA_0607700.1","telomere repeat-binding zinc finger protein%2C putative",-59,1
"101","PbANKA_06_v3",386101,386608,"gams_GFP-AP2-O3_398",1000,"+",2255.614014,11.268185,-1,237,1.2564,2.134,0.8318,-0.0037,"PBANKA_0608000.1","porphobilinogen deaminase",-80,1
"102","PbANKA_06_v3",452724,453503,"gams_GFP-AP2-O3_404",1000,"+",3718.891846,11.214943,-1,276,1.3546,2.1472,1.0152,0.2876,"PBANKA_0610100.1","lysine-specific histone demethylase 1%2C putative",-268,1
"103","PbANKA_06_v3",463097,463737,"gams_GFP-AP2-O3_405",1000,"+",8223.844727,26.756826,-1,390,2.0295,3.2003,0.406,0.7919,"PBANKA_0610200.1","DNA replication licensing factor MCM5%2C putative",-327,1
"104","PbANKA_06_v3",534094,534997,"gams_GFP-AP2-O3_421",1000,"+",11745.033203,32.103836,-1,441,2.4259,3.4503,1.3542,1.3972,"PBANKA_0612400.1","conserved Plasmodium protein%2C unknown function",-684,1
"105","PbANKA_06_v3",575613,576896,"gams_GFP-AP2-O3_427",1000,"-",15478.972656,33.486053,-1,259,2.1333,3.3288,0.9332,0.2683,"PBANKA_0613200.1","DNA polymerase alpha catalytic subunit A%2C putative",-313,1
"106","PbANKA_06_v3",599775,600298,"gams_GFP-AP2-O3_431",1000,"+",2656.892822,9.678049,-1,179,1.2152,2.0155,0.6847,0.3947,"PBANKA_0614100.1","transcription initiation factor IIA subunit 1%2C putative",-444,1
"107","PbANKA_06_v3",603995,604659,"gams_GFP-AP2-O3_433",1000,"+",4204.089844,19.654829,-1,469,1.6501,2.7122,0.5179,0.5162,"PBANKA_0614300.1","cysteine desulfurase",-468,1
"108","PbANKA_06_v3",631062,632079,"gams_GFP-AP2-O3_438",1000,"+",16185.583984,46.620834,-1,417,2.8533,4.1693,1.1704,0.5231,"PBANKA_0615200.1","calcium-dependent protein kinase 4",-940,1
"109","PbANKA_06_v3",697779,698192,"gams_GFP-AP2-O3_442",1000,"+",2480.580566,12.754449,-1,198,1.2815,2.3132,0.4576,-0.0747,"PBANKA_0616200.1","conserved Plasmodium protein%2C unknown function",-540,1
"110","PbANKA_06_v3",707655,708399,"gams_GFP-AP2-O3_443",1000,"+",7618.974609,21.511007,-1,317,1.7218,2.7953,0.6117,0.5119,"PBANKA_0616500.1","conserved protein%2C unknown function",-751,1
"111","PbANKA_06_v3",707655,708399,"gams_GFP-AP2-O3_443",1000,"-",7618.974609,21.511007,-1,317,1.7218,2.7953,0.6117,0.5119,"PBANKA_0616400.1","conserved protein%2C unknown function",-906,2
"112","PbANKA_06_v3",711039,711715,"gams_GFP-AP2-O3_444",1000,"+",7095.541504,25.319302,-1,416,1.8537,2.6899,1.2789,0.9733,"PBANKA_0616700.1","NIMA related kinase 4",-448,1
"113","PbANKA_06_v3",711039,711715,"gams_GFP-AP2-O3_444",1000,"-",7095.541504,25.319302,-1,416,1.8537,2.6899,1.2789,0.9733,"PBANKA_0616600.1","ATP synthase F0 subunit a-like protein%2C putative",-640,2
"114","PbANKA_06_v3",764241,764660,"gams_GFP-AP2-O3_452",1000,"+",2775.151123,13.356537,-1,189,1.3509,2.3053,0.204,0.639,"PBANKA_0618400.1","tetratricopeptide repeat protein%2C putative",-401,1
"115","PbANKA_06_v3",792052,793589,"gams_GFP-AP2-O3_458",1000,"+",11944.806641,36.032478,-1,1297,2.4869,3.748,0.557,0.9334,"PBANKA_0619200.1","secreted ookinete protein%2C putative",-460,1
"116","PbANKA_06_v3",826409,827303,"gams_GFP-AP2-O3_464",1000,"-",10890.259766,21.419937,-1,296,1.7716,2.8888,0.4541,0.5528,"PBANKA_0620600.1","protein CPH1%2C putative",-272,1
"117","PbANKA_06_v3",826409,827303,"gams_GFP-AP2-O3_464",1000,"+",10890.259766,21.419937,-1,296,1.7716,2.8888,0.4541,0.5528,"PBANKA_0620700.1","conserved Plasmodium protein%2C unknown function",-535,2
"118","PbANKA_06_v3",836169,837694,"gams_GFP-AP2-O3_466",1000,"-",12725.391602,40.464169,-1,1217,2.496,3.6131,1.5231,0.8585,"PBANKA_0621000.1","dynactin subunit 5%2C putative",-135,1
"119","PbANKA_06_v3",864277,864859,"gams_GFP-AP2-O3_468",1000,"-",5633.249023,25.09059,-1,186,1.9862,3.1972,0.3663,0.5104,"PBANKA_0621600.1","conserved Plasmodium protein%2C unknown function",-386,1
"120","PbANKA_06_v3",872230,872781,"gams_GFP-AP2-O3_471",1000,"+",4375.351562,18.711637,-1,303,1.6458,2.7289,0.083,0.7645,"PBANKA_0622000.1","conserved Plasmodium protein%2C unknown function",-289,1
